id,title,song_num,page_num,catalogue_num,singer_num,performers,performer_genders,performer_band,culture_dplace_id,performer_age_group,genre,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,comments,lyrics,free_translation,tonality,analysis
ute012,Bear Dance Song (h),12,69,739,6,Joshua Washington (Pa'tšatš),male,,,young,bear dance,66,66,66,1,3/4|2/4,TRUE,TRUE,TRUE,voice|morache,,,,D flat major,"The rhythmic unit of this song occurs only twice, the second time being on a pitcli slightly lower than the first. Count- divisions similar to those of the unit occur throughout the song. Seven renditions were recorded with no variation except that the sixteenth note followed by an eighth note was not always clear in relative time value. The fourth is prominent in the structure of the melody, though almost half the progressions are whole tones. The song has a compass of nine tones and contains all the tones of the octave except the seventh"
ute013,Bear Dance Song (i),13,69,740,6,Joshua Washington (Pa'tšatš),male,,,young,bear dance,63,63,63,1,2/4|3/4,TRUE,TRUE,TRUE,voice|morache,,,,D flat major,"This is a pleasing melody containing the tones of the fourth five-toned scale. Six renditions were recorded, the tune being continuous throughout the performance. The wide variety of intervals suggests that the song may be modern, since that peculiarity characterized Sioux songs which were known to be less than 50 years old. This song contains five sorts of ascending and five of descending intervals. The glissando manner of singing was especially marked in this instance."
ute014,Bear Dance Song (j),14,70,730,7,Quinance (Kwa'nantš),,White River and Uinta,Nd58,middle,bear dance,63,63,63,1,2/4|5/8,TRUE,TRUE,TRUE,voice|morache,,,,A major,"Although 87 per cent of the progressions in this song are minor thirds and major seconds, the melody is varied and inter esting, with a compass of nine tones. The rhythmic unit comprises an entire octave. Three renditions were recorded, in all of which the measure transcribed in 5-8 time was sung as indicated. Only one other song (No. 27) con tarns 5-8 measures."
ute015,Bear Dance Song (k),15,70,775,8,Areev,male,White River and Uinta,Nd58,middle,bear dance,120,120,120,1,3/4,TRUE,TRUE,TRUE,voice|morache,,,,G major,In rhythm this song is typical of the monotonous type of Bear dance song which could be continued indefinitely. (See No. 2.) The two rhythmic units are alike except that in the second there is a concluding measure which gives balance to the rhythm of the song as a whole. With one exception the progressions are major and minor thirds. Several renditions were recorded and show no points of difference.
ute016,Final Song of Bear Dance (a),16,71,774,3,Fred Mart,male,,,young,bear dance,72,,72,1,2/4,TRUE,,,voice,"""morache not recorded""",,,G major,"The rhythm of this song is unusually interesting. It will be noted that the first and third rhythmic units have the same division of the second count and that the second and third units have the same division of the first count. The even triplet division of certain measures can not be considered a unit of rhythm, as a triplet occurs in the first measure of the first unit. This rhythmic structure does not vary in the several renditions of the song. Sixty-five pro gressions occur, the only intervals being the fourth and the major third. (See Nos. 3 and 17.) The song has a compass of six tones and contains only the tones of the major triad."
ute017,Final Song of Bear Dance (b),17,72,693,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,bear dance,144,144,144,1,3/4|4/4,TRUE,TRUE,TRUE,voice|morache,,,,E flat major,"This, like the song next preceding, is major in tonality, harmonic in structure, has a compass of six tones, and progresses only by intervals of the fourth and the major third. The present melody contains 15 progressions, 53 per cent of which are downward, and the preceding melody contains 67 progressions, 51 per cent of which are downward. With these melodic similarities it is interest ing to note the difference between the rhythmic character of the two songs. Only one rhythmic unit occurs in the song under analysis, its four repetitions comprising the entire melody. The preceding song contains three short rhythmic units with many intervening measures. The present song contains eight changes of measure lengths, while the preceding song is in 2-4 time throughout."
ute018,Sun Dance Song (a),18,82,694,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,sun dance,72,72,72,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm: eighth notes,,,G sharp minor,"Two rhythmic units occur in this song, the count-divi sions of the first being reversed in the second. The song comprises three rhythmic periods, the first two containing five measures each and the third containing four measures. All the tones of the octave occur in the song, which is minor in tonality and progresses chiefly by whole tones. Voice and drum have the same tempo and are synchronous on the first of each count."
ute019,Sun Dance Song (b),19,82,695,4,Isaacs (Magwitšint),,White River and Uinta,Nd58,middle,sun dance,76,76,76,1,2/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm: eighth notes,,,B flat minor,"The transcription of this song is from the fourth rendition. An interesting variation in previous renditions is that measures 5, 9, and 14 are frequently changed from double to triple measures by a repetition of the first count. The rest midway throu h the song was given distinctly in all the renditions. For other songs containing rests see No. 8. With three exceptions the progressions are thirds and major seconds, yet the melody has a range of 13 tones. The song is major in tonality and contains all the tones of the octave except the seventh."
ute020,Sun Dance Song (c),20,83,700,9,Charlie Saritch (Sa'ritš),male,White River and Uinta,Nd58,middle,sun dance,72,72,72,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,Drum rhyth: quarter notes,,,A minor,"A descending progression of a fourth constitutes almost 25 per cent of the intervals in this song. (See No. 3.) No rhythmic unit is present, although an eighth-note division is of frequent occur rence. The song is minor in tonality, melodic in structure, and lacks the second tone of the complete octave. The drumbeat was in quarter-note values, the strokes being of equal force."
ute021,Sun Dance Song (d),21,84,777,8,Areev,male,Uncompahgre,Nd62,old,sun dance,88,88,88,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm: eighth notes,,,B flat minor,"The rhythm of this song was accurately repeated in the three renditions except in the measure before the last, in which the note-values often were given as four eighth notes. The rhythmic form is irregular but coherent. Two rhythmic units occur, the first comprising one measure and the second nine measures. The song is minor in tonality, begins and ends on the dominant, and lacks the seventh and second tones of the complete octave. In structure it is melodic with harmonic framework, the tonic chord being strongly in evidence. Thirty-seven progressions occur, about two-thirds of which are descending intervals."
ute022,Sun Dance Song (e),22,85,778,8,Areev,male,Uncompahgre,Nd62,old,sun dance,132,132,132,0.5,3/8|2/8,TRUE,TRUE,TRUE,voice|drum,Drum rhythm: eighth notes,,,B flat major,"Voice and drum have the same time unit in this song, the drum in unaccented eighth"" notes continuing steadily through the double and triple measures of the melody. The tonic chord prominent in the structure of the song, which begins on the dominant in the upper octave and ends on the dominant in the lower octave. Only one other song (No. 72) of this series begins in 3-8 time."
ute023,Sun Dance Song (f),23,85,710,11,Teddy Pageets (Pa'gitš),male,White River and Uinta,Nd58,middle,sun dance,92,,92,1,3/4|2/4,TRUE,,,voice,"""drum not recorded""",,,A flat major,"The tonic chord prominent in the structure of this song, which, like the preceding song, begins and ends on the dominant. An unaccented half note occurs four times but does not form part of a rhythmic unit. Forty-three per cent of the progressions are semi tones, proportion which unusual in analyzed Indian songs. This transcription from the last of several renditions which show some slight points of difference."
ute024,Sun Dance Song (g),24,86,786,12,Andrew Frank (Tavi'poniš),male,,,young,sun dance,88,88,88,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm: eighth notes,,,C minor,"This song has a compass of 12 tones, which is somewhat unusual in Ute songs. A wide variety of progressions appear in the melody, but the only tones are those of the minor triad and fourth. The transcription is from the third of five renditions which show some unimportant variations."
ute025,Sun Dance Song (h),25,86,787,12,Andrew Frank (Tavi'poniš),male,,,young,sun dance,88,,88,1,3/4|2/4,TRUE,,,voice,"""drum not recorded""",,,A major,"This melody contains six sorts of ascending and six of descending intervals, which is an unusually wide variety. The tonic chord constitutes the framework of the melody, which contains all the tones of the octave except the seventh. Like several other Sun dance songs this begins on the dominant in the upper and ends on the dominant in the lower octave. The group of five sixteenth notes was sung with distinctness."
ute026,Sun Dance Song (i),26,87,798,13,Fanny Provo (Sato'yum),female,,,old,sun dance,72,,72,1,2/4|3/4,TRUE,,,voice,"""drum not recorded""",,,B flat minor,"An aged woman recorded this song, which has a com pass of an octave and contains the tones of the second five-toned scale. A sixteenth note followed by a dotted eighth note characterizes the melody, but does not form part of a rhythmic unit."
ute027,Undetermined Dance Song (a),27,88,788,14,Sidney Blueotter (Sa'vapātšuk),,Uncompahgre,Nd62,old,undetermined dance,84,,84,1,2/4|3/4|5/8|3/8,TRUE,,,voice,"""drum not recorded""",,"On a mountain, the noise of the wind.",G major,"This melody is characterized by small progressions, 83 per cent of the intervals being a minor third, or smaller than a minor third — that containing from one to three semitones. The two rhythmic units have no resemblance to each other, one occurring in the first and the other in the latter portion of the song. The time values were given with exactness, three renditions being recorded and showing no differences. For other songs containing rests see No. 8. Only one other song of this series (No. 14) contains 5-8 measures."
ute028,Undetermined Dance Song (b),28,89,789,14,Sidney Blueotter (Sa'vapātšuk),,Uncompahgre,Nd62,old,undetermined dance,69,,69,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,E flat major,"This song resembles the preceding in that it contains two rhythmic units and all the tones of the octave. About 89 per cent of the progressions are whole tones and semitones. Other songs containing a large proportion of these intervals are Nos. 34, 36, 41, 44, 49, 52, 73, 82, 89, 98, and 108. The song has a compass of 12 tones. The steadily descending trend of the melody is shown in the melody plot (fig. 2). This song and the song next following were recorded without drum, as no drum was used with them in the dance."
ute029,Undetermined Dance Song (c),29,89,767,5,Clark Tonner (So'nawav),,White River and Uinta,Nd58,middle,undetermined dance,104,,104,1,2/4,TRUE,FALSE,FALSE,voice,,,,G major,"The only intervals in this song are fourths and thirds, the major and minor thirds each constituting about 40 per cent of the entire number. Ascending and descending intervals are more nearly equal than in a majority of the songs under analysis. The repetitions of the rhythmic unit comprise the entire song except the opening and closing measures. All the tones of the octave, except the fourth, occur in the song, which has a compass of 10 tones. No change of time occurs in this melody."
ute030,Turkey Dance Song (a),30,97,731,7,Quinance (Kwa'nantš),,White River and Uinta,Nd58,middle,turkey dance,76,76,76,1,2/4|7/8|3/8|5/8|3/4,TRUE,TRUE,TRUE,voice|drum,,,,B major,"In this song the interrupted drumbeat, which characterizes the Turkey dance songs, was given with sufficient clearness to permit its transcription below the melody notes (cf. Nos. 31, 45). 
The eighth-note values of the drumbeats were maintained more steadily in the 5-8 and 7-8 measures than in the 2-4 and 3-4 meas ures, and the drum was more synchronous with the voice in the latter than in the first part of the song; thus the notation of the drum should be understood as approximate rather than absolute. After singing the song as transcribed the singer began at the first measure without a break in the time, ending the performance with the ninth measure of the song. The third and sixth measures in both renditions were sung as indicated, although the ninth and eleventh measures from the close, containing the same progressions, were sung in 3-4 time.
Observing the formation of the melody, we note that it is major in tonality and comprises the tones of the fourth five-toned scale with B as keynote, yet the structure of the melody is chiefly that of the minor triad and seventh. (See analysis of No. 38.) The song has a compass of 11 tones, yet 87 per cent of the progressions contain two or three semitones."
ute031,Turkey Dance Song (b),31,98,732,7,Quinance (Kwa'nantš),,White River and Uinta,Nd58,middle,turkey dance,104,104,104,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm similar to No. 30 (eighth notes),,,F sharp minor,"This song resembles the preceding song in melodic structure, though differing widely from it in rhythm. Eighty-four per cent of the progressions contain two or three semitones, yet the song has a compass of 10 tones. Ascending and descending pro gressions are singularly uniform, there being in ascending progression 1 fourth, 3 minor thirds, and 3 major seconds, while the descending progressions comprise 2 fourths, 5 major thirds, and 5 major seconds. The tone material is that of the second five-toned scale. The inter rupted drumbeat, noted in the preceding song, is present in this phonograph record but is not transcribed."
ute032,Turkey Dance Song (c),32,99,741,6,Joshua Washington (Pa'tšatš),male,,,young,turkey dance,96,96,96,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm similar to No. 30 (eighth notes),,,B major,"The downward trend of this song, following the inter vals of the tonic chord, is emphasized by a glissando of the voice, indicated in the transcription. The melody contains only the tones of the major triad and second. It has a compass of 11 tones and a majority of the progressions are minor thirds. No ascending pro gressions occur between accented tones. (See plot, fig. 4.) Repe titions of the rhythmic unit comprise the entire melody except the closing measures."
ute033,Turkey Dance Song (d),33,99,742,6,Joshua Washington (Pa'tšatš),male,,,young,turkey dance,80,88,80,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm similar to No. 30 (eighth notes),,,irregular,"The progressions of this melody suggest E flat as a keynote, but G (the third) is not present and the melody is not classified in tonality or key. Another song of the present series lacking the third is No. 37. (See Bull. 53, p. 140, and Bull. 61, p. 135.) The interval of a fourth constitutes 22 per cent of the progressions, the remaining intervals, with one exception, being major and minor thirds. Two rhythmic periods comprise the entire song, a short rhythmic unit occurring in both periods. The drum is slightly faster than the voice and steadily maintained in the five renditions."
ute034,Turkey Dance Song (e),34,100,790,15,Chigoop (Tšigu'p),,Uncompahgre,Nd62,old,turkey dance,76,76,76,1,3/4,TRUE,TRUE,TRUE,voice|drum,Drum rhythm similar to No. 30 (eighth notes),,,B major,"In melodic structure this song comprises three parts: The first (3 measures) is based on the major triad B-D sharp-F sharp; the second (1 measure) on the minor triad G sharp-B-D sharp; and the third (4 measures) on the chord B-D.sharp-F sharp-B, the accented tones following the descending intervals of this chord. The song is thus seen to be strongly harmonic in character. No interval larger than a minor third occurs in the song, and about 58 per cent of the progressions are whole tones. (See No. 28.) The song has a compass of 13 tones and contains the entire octave except the seventh. Repetitions of the rhythmic unit comprise practically the entire song."
ute035,Turkey Dance Song (f),35,100,791,15,Chigoop (Tšigu'p),,Uncompahgre,Nd62,old,turkey dance,72,,72,1,2/4|3/4,TRUE,,,voice,"""drum not recorded""",,,E major,This song is not rhythmic in character. It contains all the tones of the octave except the fourth and is harmonic in structure.
ute036,Woman's Dance Song (a),36,102,779,8,Areev,male,Uncompahgre,Nd62,old,woman's dance,80,80,80,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,B flat major,"The rhythmic structure of this song is interesting. Two rhythmic units occur, the first containing three and the second two counts. After a repetition of the first rhythmic unit we note a measure suggesting the second unit, followed by a measure resem bling the first unit, this, in turn, followed by the second unit and its repetition. The first unit reappears and is followed by a measure bearing resemblances to both units, the song closing with three repetitions of the second unit. This intelligent use of thematic material indicates a degree of musical cultivation among the Utes. The melody has a compass of an octave and contains all the tones of the octave except the seventh. Whole tones comprise 84 per cent of the progressions. (See No. 28.)"
ute037,Woman's Dance Song (b),37,103,743,6,Joshua Washington (Pa'tšatš),male,,,young,woman's dance,80,80,80,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,irregular,"This song contains the tones B flat, E flat, G natural, and A natural, suggesting the key of B flat major, yet the third of that key does not appear. (See No. 33.) The song begins with an ascending octave. Only one other Ute song has this initial interval (No. 91). Chippewa and Sioux songs with this peculiarity are noted in Bulletin 53, page 81, and Bulletin 61, page 343. It also begins and ends on the same tone. (See Nos. 42, 59, 91, and 97 of this series; also Bull. 53, p. 222, and Bull. 61, p. 257.) About one-third of the intervals are fourths. Two rhythmic units occur, the rhythm of the second unit being steadily different from that of the first unit. A first and second ending occurs also in the dupli cation No. 39 and in No. 48. 
This song is considered in the Appendix, pages 206-208."
ute038,Woman's Dance Song (c),38,104,744,6,Joshua Washington (Pa'tšatš),male,,,young,woman's dance,80,80,80,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,G sharp minor,"This song contains only the tones of the minor triad and seventh. The only other Ute song containing this tone material is No. 71.
Concerning this characteristic among Chippewa songs, see Bulletin 45, page 142, and Bulletin 53, page 258; among the Sioux songs, see Bulletin 61, pages 184,337. This chord has been found in the music of the American Negro 18 and was noted by Prof. J. C. Fillmore in songs of the Nass River Indians living in British Columbia; also among the songs of the Dahomy collected by Prof. Fillmore at the World's Columbian Exposition in Chicago, 1892.
In the songs analyzed by the present writer this chord appears in two forms: (1) In songs of minor tonality it constitutes the tonic chord with seventh added, and (2) in songs of major tonality it constitutes the submediant chord with the dominant of the key added as its highest tone. It will be noted that in the first form the tonic triad appears as the lower and in the second form as the upper portion of the chord. The second is the more frequent form, as shown by the fact that 11 Chippewa songs are characterized by this chord and only three are minor in tonality. (See song No. 30.) In the song under analysis the tonic triad (G sharp, B-D sharp) forms the framework of the melody, the seventh being less prominent and occurring only twice. The rhythmic unit is short and its repe titions comprise all the song except the closing measures. Four renditions were recorded and show no differences except that in one rendition the opening phrase, before the repeated portion, was omitted. Major and minor thirds constitute 68 per cent of the progressions."
ute039,Lame Dance Song (a),39,106,701,9,Charlie Saritch (Sa'ritš),male,White River and Uinta,Nd58,middle,lame dance,69,69,69,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,E major,"We have before us for consideration two renditions of a song by the same singer (cf. Nos. 77, 78), the first rendition being- recorded in 1914 and the second -in 1916. The duplication was accidental, which adds to the interest of the comparison. On the first occasion the song was sung three times and on the second it was sung twice. Comparing the transcriptions of the two rendi tions, we find in the second a more regular rhythm and also an ornamentation of the melody, as in the third measure. The first-named peculiarity is shown by the presence of rhythmic units, the latter by a larger proportion of whole-tone progressions. Inquiry was made concerning the life of the singer during the two years elapsing between the making of the records, as the rhythm might possibly be influenced by an adaptation to the ways of the white man. The Government officials on the reservation were, however, of the opinion that ho appreciable change had taken place in the singer and the difference in the records was attributed by them to a difference in mood at the time of recording."
ute040,Lame Dance Song (b),40,109,720,16,Tim Johnson,male,White River and Uinta,Nd58,old,lame dance,76,76,76,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,E major,"This song contains only one word (Tsiyuta), said to be the Shoshoni term applied by them to the Utes. The rhythmic struc ture of the song comprises four periods, each containing four meas ures, except the third, which has only three measures. Each of these periods ends with a triple measure. In melodic form the song is characterized by wide expansion and small intervals, the range being 1 1 tones and about 60 per cent of the progressions being smaller than a major third. (See No. 2&.) Three renditions were recorded, the only differences being a slight variation in the fourth measure. The song contains all the tones of the octave."
ute041,Lame Dance Song (c),41,110,768,17,Paul Pegaroos,male,Uncompahgre,Nd62,old,lame dance,63,63,63,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,E major,"Two renditions of this song were recorded, and in both are found the same number of sixteenth notes in the third measure from the close, this phrase being divided into three groups of two notes each. The song contains no rhythmic unit, though several measures begin with a dotted eighth followed by a sixteenth note. A short connective phrase was sung between the renditions. (See No. 7.) For other songs containing rests see analysis of No. 8. Sixty- five per cent of the progressions are whole tones —a peculiarity noted in the analysis of No. 28."
ute042,Closing Song of the Lame Dance,42,111,769,17,Paul Pegaroos,male,Uncompahgre,Nd62,old,lame dance,104,112,104|112,1,2/4,TRUE,TRUE,TRUE,voice|drum,,,,G sharp minor,"This song resembles No. 17, which was sung at the conclusion of the Bear dance, but a comparison of the trend of the two melodies shows the upper tone to be the more important in No. 17 and the lower tone in the present instance. A fundamental and its minor third are the only tones in this song, while No. 17 contains also the minor seventh, occurring as an unaccented tone. This song comprises four periods, all having the same rhythm. It begins and ends on the same tone. (See No. 37.) ,"
ute043,Dragging-Feet Dance (a),43,112,721,16,Tim Johnson,male,White River and Uinta,Nd58,old,dragging-feet dance,108,108,108,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,E major,"This melody progresses chiefly by the minor third, which constitutes 71 per cent of the intervals. The rhythmic unit comprises five measures and occurs twice. It interesting to note the resemblance between the opening measures of the song and the rhythmic unit. Nine renditions were recorded without a break in the time. The drumbeat was synchronous with the voice."
ute044,Dragging-Feet Dance (b),44,113,746,18,John Star (Sa'vawitopatš),male,White River and Uinta,Nd58,old,dragging-feet dance,104,104,104,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,D flat minor,"Nine renditions of this song were recorded without a break in the time. The melody is rhythmic, in character but con tains no rhythmic unit. Only three sorts of progressions occur— the fourth (constituting 32 per cent), the major second (62 per cent), and one interval of a major third (see No. 28) . All the major seconds were uncertain in intonation. The song is harmonic in structure and contains the octave complete except the second and seventh."
