id,song_num,page_num,catalogue_num,performers,performer_genders,location,latitude,longitude,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
papago038,38,70,972,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,2/4,TRUE,FALSE,FALSE,voice,,Hanging motionless in the sky yet terrible in its power to destroy,,
papago039,39,73,973,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"My poor grandchild, my poor grandchild,
It is the head gaming stick that always wins, 
Throw it forward",,
papago040,40,75,974,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Who is the man who killed an enemy and has no joy?
I am having all the joy alone",,
papago041,41,75,975,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,132,0.5,6/8|7/8|5/8|4/8|3/8,TRUE,FALSE,FALSE,voice,,"Twin girls, they go from one dancing circle to another, returning to the place from which they started",,
papago042,42,76,976,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,80,1,2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,"Where am I running from, that I come here?
Am I a crazy woman with a painted face?",,
papago043,43,79,1066,Leonardo Rios,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,2/4|3/4|5/8,TRUE,FALSE,FALSE,voice,,"Now I toss up the sticks.
I will throw the sticks for the corner.
(The highest score was made by this throw.)",,
papago044,44,80,977,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"The time is come to pay your wager;
The time is come.",,
papago045,45,86,1072,Harry Encinas,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,116,1,3/4|7/8|2/4|4/4,TRUE,FALSE,FALSE,voice,,"From the west a white wind is coming out.
Stand there and look, it is not near,
It is beside the ocean, there you will see it.
By the reflected light of the sun you will see it.",,
papago046,46,87,1033,Jose Hendricks,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,63,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"The bright morning begins to shine.
Get up, three of you, and see Manasi Mountain.
On top of it there is yellow water,
I went there, drank the water, and staggered in running.",,"The location is written as ""Vomari"" by Densmore."
papago047,47,89,1041,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,92,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Are you going to make a doctor out of me?
You have brought me in here and I see.",,
papago048,48,92,1036,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,2/4|3/4|5/8,TRUE,FALSE,FALSE,voice,,"[Part 1]
Sandy Loam Fields, on top of these lands Elder Brother stands and sings.
Over our heads the clouds are seen, downy white feathers gatherd in a bunch.

[Part 2]
After hearing these songs the women gather on Sandy Loam Fields,
Their heads decorated with clouds of feathers",,
papago049,49,93,1037,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,160,0.5,5/8|4/8|3/8,TRUE,FALSE,FALSE,voice,,"[Part 1]
I am going to sit here and sing, I am going to sit here and sing.
On top of our ground you will see green scum drying op.
(This refers to land on which water has recently been standing)

[Part 2]
I am going to stand here and sing, I am going to stand here and sing.
On top of our ground you will see foam drying up",,
papago050,50,93,1038,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,100,1,2/4,TRUE,FALSE,FALSE,voice,,"[Part 1]
That bird comes out back of Frog Mountains.
It stretches its arms trying to reach Cokwigan Mountains (in Mexico).

[Part 2]
A measuring worm comes out of Long Mountains (Santa Rita)
It stretches itself, trying to reach Iohlikum (Queen Mountains, part of Baboquivari rangre).",,
papago051,51,94,1039,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"[Part 1]
Crazy woman, crazy woman, trying to sing to mescal leaves,
How can she sing to them and make the wind come?

[Part 2]
Young children trying to sing to bahwi flowers,
How can they sing to bahwi flowers and bring rain?",,
papago052,52,95,1040,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"[Part 1]
Hanamikan Mountain calls itself doctor and stands by itself.
Toward it I am walking.

[Part 2]
Thatkam calls itself brave, standing toward Hanapkam Mountain.",,
papago053,53,95,1024,Rafael Mendez,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,76,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"I know everything in the bottom of my heart,
From coyote I learn all this,
I get it and keep it within me, and hold it there.",,"The location is written as ""Vomari"" by Densmore."
papago054,54,96,1021,Rafael Mendez,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Gray horned toad, the sun shines on you.
The susnshine they gathered.
With that they covered me but I got out from it.",,"The location is written as ""Vomari"" by Densmore."
papago055,55,97,1022,Rafael Mendez,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Here we begin to talk.
We call a name toward the east and a snake comes out, nicely painted.",,"The location is written as ""Vomari"" by Densmore."
papago056,56,98,1023,Rafael Mendez,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,72,1,2/4|3/4|5/8|3/8,TRUE,FALSE,FALSE,voice,,"Little yellow wasp, you throw the dirt in my eyes.
I do not know what to do with you.
All I can do is to make a long-drawn breath, hoping you will die in four days.",,"The location is written as ""Vomari"" by Densmore."
papago057,57,98,1042,Jose Pancho,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"He hangs it on both sides of himself and rolls around, then he gets up and dances with these on either side.",,
papago058,58,99,1014,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,92,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"The devil's power shines over us now.
We can see it shine on the tail of a black horse and we can also see the shining on top of every mountain.
We know it will cure you.",,
papago059,59,100,1016,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"From the east I came half dead with hunger and thirst.
I came to a little water hole but it was dried up.
I knew no other.
I decided to find some other horses or a person who could take me to water.
This boy took me to water but afterwards he treated me badly.",,
papago060,60,100,1015,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,100,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Black hair rope is what you used in roping me.
You treated me badly.
You even threw me down and tied me.
Not satisfied with that, you tied a knot in the end of my tail.
That made me disgusted.",,
papago061,61,101,1017,Jose Manuel,male,"Sells, Arizona, U.S.A.",32.326,-112.043,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I could go and get some of this yellow poppy flower and a sore would come where it touched your hand, but I have some pity for you though you had none for me when I was in your hands.",,
papago062,62,104,910,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,80,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Momoi [many] kokopa [spirits] honunewewa [westward] nuana [leading] ciamowa nakia [hanging] nye [my] moinak [heart] wangihona [strengthening],,,Lyrics aligned with music in publication
papago063,63,105,911,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Makai [Medicine man's] ki [house] wi [to] nye [me] vanem [led into] ordanyewa [left me inside] ki [house] nye [my] sikol [older brother] cukoni [owl] aan [feathers] bineminak [flying about] nyuicuna [singing],"To the medicine man's house they have led me,
To the medicine man's house they have led me,
Inside the house they have brought me,
Elder Brother is there and owl feathers fly about,
The owl feathres sing in the air",,Lyrics aligned with music in publication
papago064,64,106,912,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Thotha [white] momoveld [bees] can [over there] novanye [they will] nyeyopa [come out] hodoneko [in the west] miawa [they drop] kamova [yonder] hodoneko [in the west] vowi [toward] muko [distance] smamsim [plainly] thotham [shimmering white] yahusnuhuwa [fluttering],,,Lyrics aligned with music in publication
papago065,65,107,913,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Thoa [White] navavany [mountain] mumuko [far away] cyevut [earth] honginana [edge] kuka [stands] wathimohoi [beautiful] thamacoweka [it has] skuukcu [brilliant] thothama [white] kikiyona [arches],"A white mountain is far at the west,
It stands beautiful,
It has brilliant white arches of light bending down toward the earth",,Lyrics aligned with music in publication
papago066,66,108,914,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,58,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Roiinga [It was a sad thing] nehnona [you did to me] nawacik [cigarette] komoithan [smoke] mueda [inside of you] uhumapa [piling up],"It was a sad thing you did,
It was a sad thing you did,
But now we smoke together,
The smoke will pile up inside us",,Lyrics aligned with music in publication
papago067,67,109,915,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,72,1,2/4,TRUE,FALSE,FALSE,voice,Kunye kamhohimna [I was going there] cirvan [earth] honginana [end] himana [going] cirvan [earth] colikam [corner] Ithoi [Elder Brother] avuvumahaith [from two directions] nanamukim [we meet] hok [the] nye [my] moi [heart] thmiamoma [calling for help],"Going alone to the earth end,
Going alone to the earth corner,
Elder Brother comes from the opposite direction
We meet and my heart is bounding within me",,Lyrics aligned with music in publication
papago068,68,110,916,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Aliwerci [(No meaning)] scuk [black] wahpamana [snake] hoduneko [west] vahwi [toward] susulinhimna [going erect] cinawikimtha [walking while moving] cinowang [mountain] mihivi [coiling around],"A black snake goes toward the west,
It travels erect on its tail,
It sings as it goes toward the west, and coils around a mountain",,Lyrics aligned with music in publication
papago069,69,111,917,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Vahvai [rocks] mongawa [shaking back and forth] onginunu [shaking him] wanur cinihonimur [he trembles] yoina [after] kahimukai [going] waamoh [farther] coingam [what can it mean?] nye [my] moi [heart] hohonemur [all gone],,,Lyrics aligned with music in publication
papago070,70,112,1027,Rafael Mendez,male,"Vamori, Arizona, U.S.A.",31.721,-111.905,58,1,2/4,TRUE,FALSE,FALSE,voice,,"It has been a long time since the light began to show, my brother
Just look, my brother,
Toward us the bows are brightening (referring to shafts of light bent above their heads like long bows)",,"The location is written as ""Vomari"" by Densmore."
papago071,71,113,1075,Kiyatan,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,126,1,2/4|3/4,TRUE,FALSE,FALSE,voice,"Tharai [Sun] woceracima [rising] hokithab [at the side] kakatho [bows] yahaiwa [at the side] wuwucima [lying] hokithab [at the side] pur [the] mawithur [lion] mamata [babies] vupukumi [pink] thiamo [that is all]

Maratha [Moon] yutuna [setting] hokithab [at the side] pur [the] vapaku [canes] yahaiwa [at the side] wuwucima [lying] hokithab [at the side] kirohu [wild cat] mamatu [babies] yahaiwara [moving around] cucuwoi [uncertainly] kaiima [that is all]","The sun is rising,
At either side a bow is lying,
Beside the bows are lion-babies,
The sky is pink, 
That is all

The moon is setting,
At either side are bamboos for arrow-making,
Beside the bamboos are wild-cat babies,
They walk uncertainly,
That is all.",,Densmore does not report the location where this song was collected|Lyrics aligned with music in publication|On p. 114 Densmore reports a 'companion song' sung to the same melody (No 72)
papago073,73,118,932,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/8|3/5,TRUE,FALSE,FALSE,voice,,"How shall I begin my song
In the blue night that is settling
I will sit here and begin my song",,
papago074,74,119,933,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"The owl feather is rolling in this direction and beginning to sing.
The people listen and come to hear the owl feather
Rolling in this direction and beginning to sing.",,
papago075,75,119,934,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Early in the evening they come hooting about,
Some have small voices and some have large voices,
Some have voices of medium strength, hooting about.",,
papago076,76,120,935,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"I can not make out what I see.
In the dark I enter.
I can not make out what I see.",,
papago077,77,121,936,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Poor old sister, you have cared for this man and you want to see him again, but now his heart is almost covered with night. There is just a little left.",,
papago078,78,122,937,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,116,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Ahead of me some owl feathers are lying,
I hear something running toward me,
They pass by me, and farther ahead
I see spirit-tufts of downy white feathers",,
papago079,79,123,938,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,112,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Yonder lies the spirit land
Yonder the spirit land I see
Farther ahead, in front of me,
I see a spirit stand",,
papago080,80,124,939,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"A railroad running west,
He travels westward
When he gets a certain distance
He flaps his wings four times and turns back",,
papago081,81,125,940,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"Yonder are spirits laughing and talking as though drunk.
They do the same things that we do.
Now we will join them.",,
papago082,82,125,941,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"I pity you, my feathers
I pity you, my feathers, that they make fun of,
They must mean what they say,
Or perhaps they are crazy in their hearts",,
papago083,83,126,942,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,69,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,On the west side people are singing as though drunk. The women are singing as though they were drunk.,,
papago084,84,127,951,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,4/3|2/4|5/8,TRUE,FALSE,FALSE,voice,,"I am going far to see the land,
I am running far to see the land,
While back in my house the songs are intermingling",,
papago085,85,127,952,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,112,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,"Ashes Hill Mountain, toward it I am running,
I see the Ashes Hill come out clearer.",,
papago086,86,128,953,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,224,0.5,5/8|2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,"They brought me to the waters of the spirits.
In these waters the songs seem to be stringing out.",,
papago087,87,129,943,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,72,1,3/4|3/8|2/4,TRUE,FALSE,FALSE,voice,,"A low range of mountains, toward them I am running.
From the top of these mountains I will see the dawn.",,
papago088,88,129,944,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,116,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I am not sure whether I am running west or east but I run on and on. 
I find that I am running east.",irregular,
papago089,89,130,945,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,208,1,2/4|3/8|3/4,TRUE,FALSE,FALSE,voice,,"I am dead here, I die and lie here,
I am dead here, I die and lie here,
Over on top of Vihuhput i had my dawn.",,
papago090,90,131,946,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,80,1,3/4|5/8|2/4|3/8,TRUE,FALSE,FALSE,voice,,"Black Butte is far. Below it I had my dawn.
I could see the daylight coming back of me.",,
papago091,91,132,947,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,112,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I am afraid it will be daylight before I reach the place to see.
I feel that the rays of the sun are striking me.",,
papago092,92,133,948,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,76,1,2/4|5/8|3/4,TRUE,FALSE,FALSE,voice,,"The owl feather is likely to find the daylight.
He is looking for it.
He is looking to see the dawn shine red in the east.",,
papago093,93,133,949,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,108,1,2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,"The morning star is up.
I cross the mountains into the light of the sea.",,
papago094,94,134,950,Sivariano Garcia,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,106,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"I think I have found out.
I think I have found out.
With the owl songs I have found out and I will return home.",,
papago095,95,135,1063,Leonardo Rios,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,96,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"At the south side is water covered with green scum. Above it clouds roll toward me. I see this and think perhaps I will be caught in the rain, so I return home.",,
papago096,96,136,1064,Leonardo Rios,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,96,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"The great white birds that fly over the ocean came to our singing place, and over the ground they strung about.",,
papago097,97,137,1065,Leonardo Rios,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,"In the east is the dwelling place of the sun.
On top of this dwelling place the sun comes up and travels over our heads.
Below we travel.
I raise my right hand to the sun and then stroke my body in the ceremonial manner",,
papago098,98,140,1074,Mattias Encinas,male,"San Xavier, Arizona, U.S.A.",32.107,-111.008,88,1,3/4|2/4,TRUE,FALSE,FALSE,voice,Siali [East] thanthanio [side] curcungi [clouds] kahowa [approaching] mumko [far] nurkai [rain far away] coko [raining here] thoahi [thunder],"Clouds are standing in the east, they are approaching.
It rains in the distance.
Now it is raining here and the thunder rolls.",,
