id,title,orig_performers,performers,performer_genders,publication_page_num,catalog_num,voice_use,instrument_use,percussion_use,instrumentation,publication_song_num,tonality,bpm_voice,bpm_drum,bpm,beat_duration,meters,free_translation,analysis
choct10,Bullet Game Song (c),Lysander Tubby,Lysander Tubby,male,134,2371,TRUE,FALSE,FALSE,voice,9,minor,63,,63,1,2/4,,"The songs of a hidden ball game have been recorded in several tribes and are characterized by a small compass, short phrases, and a style that is somewhat exclamatory. The present melodies are examples of this style."
choct11,Tick Dance Song (a),Sidney Wesley,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,136,2200,TRUE,FALSE,FALSE,voice,10,minor,104|126,,104|126,1,2/4|3/4,,"The rhythm of this melody is strongly marked, this quality of the melody taking the place of an instrumental accompaniment. The interest of the rhythm centers in the slight variations of the rhythmic unit which produce a swaying effect. The first and second occurrences of the unit begin with a descending progression and the third and fourth occurrences begin with an ascending progression, which produces an effect of swaying. The song has a compass of five tones and contains only the tones of the minor triad and fourth."
choct12,Tick Dance Song (b),Sidney Wesley,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,137,2201,TRUE,FALSE,FALSE,voice,11,major,132|120,,132|120,1,2/4|3/4,,"This song is the first example of the period formation described on page 118. The second period is distinguished by changes of tempo and phrases containing small count-divisions. Two descending, over-lapping fourths occur frequently, these being C-G and A-E, but the principal interval in the framework of the melody is the minor third between E and G. A minor third comprises 38 of the 65 intervals."
choct13,Tick Dance Song (c),Sidney Wesley,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,138,2210,TRUE,FALSE,FALSE,voice,12,minor,63,,63,1,2/4|3/4,,"This resembles the song next preceding in its period formation. The phrases in period A are long and contain two rhythmic units. Period B contains frequent short rests and no rhythmic unit. A wwhole tone is the most frequent interval of progression. The pitch was gradually raised a semitone during the singing of this song, a mannerism occuring in no other performance by the Choctaw. It occurs frequently in Pueblo songs and is given extended consideration in Music of Santo Domingo Pueblo (Densmore 1938, pp. 52–54); also in unpublished material on songs of Acoma, Isleta dn Cochiti Pueblos and the Seminole (mss. in Bur. Amer. Ethnol.)."
choct14,Tick Dance Song (d),Sidney Wesley,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,139,2215,TRUE,FALSE,FALSE,voice,13,minor,132,,132,1,2/4,,"The emphatic rhythm of this song, together with the rise and fall of the melody, takes the place of an instrumental accompaniament. The song contains no change of measure length, thus maintaining a steady rhythm. Three rhythmic units occur. These second and third units differ only in one tone, but this difference was given with distinctness. the melody lies partly above and partly below the keynote, and contains only the tones of the minor triad and fourth."
choct15,Tick Dance Song (e),Lysander Tubby,Lysander Tubby,male,140,2357,TRUE,FALSE,FALSE,voice,14,major,80,,80,1,3/4,,"This song has a compass of 11 tones, which is the largest in the Choctaw songs. It is based chiefly on the major triad with an emphasis on E in the lower octave."
choct16,Tick Dance Song (f),Lysander Tubby,Lysander Tubby,male,140,2358,TRUE,FALSE,FALSE,voice,15,minor,80,,80,1,2/4,,"Only the tones of a minor third and fourth occur in this song. The general trend is a descending fourth followed by an ascending and descending minor third. This transcription contains a minus sign over one note, showing the tone was slightly below the indicated pitch in all the renditions. Other songs containing this sign are Nos. 17, 36, and 38."
choct17,Tick Dance Song (g),Lysander Tubby,Lysander Tubby,male,141,2370,TRUE,FALSE,FALSE,voice,16,third lacking,84,,84,1,2/4|3/8|3/4,,"This melody is based on intervals, not on the relationship of tones to a keynote. As in similar songs, the signature is used for convenience in showing the pitch of the tones, not as an indication of key in the musician's use of that term. Three descending fourths form the framework of the melody. In the order of occurrence there are A flat-E flat, B flat-F, and E flat-B flat."
choct18,Tick Dance Song (h),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,141,2374,TRUE,FALSE,FALSE,voice,17,major,100,,100,1,2/4,,"The keynote and fifth are the most prominent tones in this melody. The tone transcribed as G sharp was clearly sung, also the augmented second whichfollows. Gus Willis joined with Tubby in this song to show the manner in which other singers join the leader. His voice entered on the fourth measure and continued in unison with Tubby's. Other songs in which Willis joined are Nos. 18, 19, 25, 26, 33, and 35. This ""second part"" is not indicated in the transcriptions (cf. p. 121)."
choct19,Tick Dance Song (i),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,142,2375,TRUE,FALSE,FALSE,voice,18,major,80,,80,1,2/4|3/4,,"With the exception of one tone, each of these melodies [Nos. 18 and 19] lies within the compass of a fifth and its principal tones are those of a major triad. A majority of the intervals are descending progressions, and the performance ended on the tone above the keynote."
choct20,Tick Dance Song (j),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,142,2376,TRUE,FALSE,FALSE,voice,19,major,63,,63,1,3/4|2/4|5/8,,"With the exception of one tone, each of these melodies [Nos. 18 and 19] lies within the compass of a fifth and its principal tones are those of a major triad. A majority of the intervals are descending progressions, and the performance ended on the tone above the keynote."
choct21,Tick Dance Song (k),Olman Comby,Olman Comby,male,143,2352,TRUE,FALSE,FALSE,voice,20,major,66,,66,1,2/4|3/4|7/8|5/8,,"This melody as recorded by Olman Comby is more melodious and less rhythmic than the six preceding versions of the Tick dance song sung by Lysander Tubby. Comby is an Indian policeman at the agency and expressed familiarity with the Choctaw custroms in other localities. The tonality of this song is major but the minor third below the keynote is a prominent interval. The descent to this tone produces a minor triad with minor seventh, the tones being indescending order. In structure the song may be said to consist of two overlapping triads, the upper being major and the lower being minor. The song has a compass of an octave and lies partly above and partly below the keynote."
choct22,Drunken-man Dance Song (a),Robert Henry,Robert Henry,male,144,2355,TRUE,FALSE,FALSE,voice,21,minor,112|100,,112|100,1,2/4|3/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct23,Drunken-man Dance Song (b),"['Lapintabeseihoke [Kills it Himself, Sidney Wesley]', 'Atobaantci [Putting it Back, Mary Hiekman]']",Lysander Tubby,male,144,2363,TRUE,FALSE,FALSE,voice,22,major,96,,96,1,2/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct24,Drunken-man Dance Song (c),Lysander Tubby,Lysander Tubby,male,145,2364,TRUE,FALSE,FALSE,voice,23,minor,,,,,,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct25,Drunken-man Dance Song (d),Lysander Tubby,Lysander Tubby,male,146,2365,TRUE,FALSE,FALSE,voice,24,minor,96,,96,1,2/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct26,Drunken-man Dance Song (e),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,147,2379,TRUE,FALSE,FALSE,voice,25,major,96,,96,1,2/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct27,Drunken-man Dance Song (f),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,148,2380,TRUE,FALSE,FALSE,voice,26,minor,96,,96,1,2/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct28,Drunken-man Dance Song (g),Lysander Tubby,Lysander Tubby,male,148,2381,TRUE,FALSE,FALSE,voice,27,minor,96,,96,1,2/4|3/4|5/8,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct29,Drunken-man Dance Song (h),Lysander Tubby,Lysander Tubby,male,148,2382,TRUE,FALSE,FALSE,voice,28,third lacking,60,,60,1,2/4,,"The Drunken-man dance songs (Nos. 21–28) are simple and do not require detailed analysis. A majority of the melodies are based on a major or minor triad and the count divisions consist chiefly of quarter and eighth notes. A nota legato occurs in Nos. 23 and 26, and a swaying effect is given by the melody and rhythm of No. 26, a melody lying partly above and partly below the keynote. The melodic material of No. 26 consists of a tone (regarded as the keynote) with a minor third above and a whole tone below that tone. In No. 27 the only tones are a keynote with its minor third and fourth. The keynote in No. 28 is F, but the third above that tone does not occur. This song contains a more varied rhythm than other songs of this dance."
choct30,Duck Dance Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,150,2203,TRUE,FALSE,FALSE,voice,29,minor,76,,76,1,2/4|3/4|5/8,,"The principal interval in this song is the major third from G to B, followed by a descent to D in some measures and to E in others. Thus the tonality seems to waver between major and minor. With a single exception the rhythmic unit occurs on one series of tones, suggesting the repetition of a single motion in the dance. The opening phrase is energetic, the rhythmic unit is brisk, and the whole song is lively and interesting."
choct31,Duck Dance Song (b),Gus Willis,Gus Willis,male,151,2269,TRUE,TRUE,TRUE,sticks|voice,30,major,132,132,132,1,2/4,,"Repetitions of the rhythmic unit constitute this entire melody, with the progressions alike on the second and alternate phrases. These suggest a major triad, while the first phrase and alternate phrases are based on a minor triad. The tone material is that of the fourth 5-toned scale, and about two-thirds of the intervals are whole tones. The striking sticks are in the same meter as the voice, but each stroke slightly preceded the voice, as though hastening it."
choct32,Snake Dance Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,152,2204,TRUE,FALSE,FALSE,voice,31,major,66|152,,66|152,1,2/4|3/4,,"These two songs (Nos, 31, 32), recorded by different singers, are practically the same in the first portion but differ in the second portion which was repeated an indefinite number of times in the dancing. The first song is the more interesting and contains a change of tempo. The second song maintains the original tempo and was sung by the customary leader of the dance. The original tempo and pitch are about the same in the two songs. As in many other Choctaw songs, the framework is that of a triad with the third as the highest tone."
choct33,Snake Dance Song (b),Lysander Tubby,Lysander Tubby,male,153,2373,TRUE,FALSE,FALSE,voice,32,major,63,,63,1,2/4|3/4,,"These two songs (Nos, 31, 32), recorded by different singers, are practically the same in the first portion but differ in the second portion which was repeated an indefinite number of times in the dancing. The first song is the more interesting and contains a change of tempo. The second song maintains the original tempo and was sung by the customary leader of the dance. The original tempo and pitch are about the same in the two songs. As in many other Choctaw songs, the framework is that of a triad with the third as the highest tone."
choct34,Steal-partner Dance Song (a),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,154,2377,TRUE,FALSE,FALSE,voice,33,major,80,,80,1,2/4|3/8|5/8,I am stealing from you. You are not trying to get it back.,A change of tonality from major to minor without a change of keynote occurs in this song and is indicated in the transcirption. The descending fourth is prominent throughout the melody.
choct35,Steal-partner Dance Song (b),Lysander Tubby,Lysander Tubby,male,154,2359,TRUE,FALSE,FALSE,voice,34,minor,92,,92,1,2/4,,"The first song of this group (Nos. 34–38) begins with a minor third and is clearly minor in tonality, but the others begin with a major third, followed by a descent of a minor third completing a minor triad. Nos. 35, 36 and 37 were recorded on the same day, with several renditions of each, and no. 38 was recorded a few days later. On comparing the transcriptions, we note such a resemblance in general form that they might, possibly, be regarded as variants of a single melody. The singer, however, was a man of unusual ability and experience and the Steal-partner dance is a popular dance, employing many songs. Under these circumstances it is possible that close resemblances might occur in the melodies, which he recorded without hesitation. The most elaborate of these songs is No. 38, which contains three rhythmic units, numerous measures in 5-8 time and several occurences of nota legato. In Nos. 33 and 35 Gus Willis joined the singer after the first phrase, the voices continuing in unisono (cf. p. 121)."
choct36,Steal-partner Dance Song (c),Lysander Tubby and Gus Willis,Lysander Tubby|Gus Willis,male|male,155,2378,TRUE,FALSE,FALSE,voice,35,minor,,,,,,,"The first song of this group (Nos. 34–38) begins with a minor third and is clearly minor in tonality, but the others begin with a major third, followed by a descent of a minor third completing a minor triad. Nos. 35, 36 and 37 were recorded on the same day, with several renditions of each, and no. 38 was recorded a few days later. On comparing the transcriptions, we note such a resemblance in general form that they might, possibly, be regarded as variants of a single melody. The singer, however, was a man of unusual ability and experience and the Steal-partner dance is a popular dance, employing many songs. Under these circumstances it is possible that close resemblances might occur in the melodies, which he recorded without hesitation. The most elaborate of these songs is No. 38, which contains three rhythmic units, numerous measures in 5-8 time and several occurences of nota legato. In Nos. 33 and 35 Gus Willis joined the singer after the first phrase, the voices continuing in unisono (cf. p. 121)."
choct37,Steal-partner Dance Song (d),Lysander Tubby,Lysander Tubby,male,155,2360,TRUE,FALSE,FALSE,voice,36,minor,,,,,,,"The first song of this group (Nos. 34–38) begins with a minor third and is clearly minor in tonality, but the others begin with a major third, followed by a descent of a minor third completing a minor triad. Nos. 35, 36 and 37 were recorded on the same day, with several renditions of each, and no. 38 was recorded a few days later. On comparing the transcriptions, we note such a resemblance in general form that they might, possibly, be regarded as variants of a single melody. The singer, however, was a man of unusual ability and experience and the Steal-partner dance is a popular dance, employing many songs. Under these circumstances it is possible that close resemblances might occur in the melodies, which he recorded without hesitation. The most elaborate of these songs is No. 38, which contains three rhythmic units, numerous measures in 5-8 time and several occurences of nota legato. In Nos. 33 and 35 Gus Willis joined the singer after the first phrase, the voices continuing in unisono (cf. p. 121)."
choct38,Steal-partner Dance Song (e),Lysander Tubby,Lysander Tubby,male,155,2361,TRUE,FALSE,FALSE,voice,37,minor,,,,,,,"The first song of this group (Nos. 34–38) begins with a minor third and is clearly minor in tonality, but the others begin with a major third, followed by a descent of a minor third completing a minor triad. Nos. 35, 36 and 37 were recorded on the same day, with several renditions of each, and no. 38 was recorded a few days later. On comparing the transcriptions, we note such a resemblance in general form that they might, possibly, be regarded as variants of a single melody. The singer, however, was a man of unusual ability and experience and the Steal-partner dance is a popular dance, employing many songs. Under these circumstances it is possible that close resemblances might occur in the melodies, which he recorded without hesitation. The most elaborate of these songs is No. 38, which contains three rhythmic units, numerous measures in 5-8 time and several occurences of nota legato. In Nos. 33 and 35 Gus Willis joined the singer after the first phrase, the voices continuing in unisono (cf. p. 121)."
choct39,Steal-partner Dance Song (f),Lysander Tubby,Lysander Tubby,male,156,2362,TRUE,FALSE,FALSE,voice,38,minor,144,,144,0.5,5/8|3/4|2/4|,,"The first song of this group (Nos. 34–38) begins with a minor third and is clearly minor in tonality, but the others begin with a major third, followed by a descent of a minor third completing a minor triad. Nos. 35, 36 and 37 were recorded on the same day, with several renditions of each, and no. 38 was recorded a few days later. On comparing the transcriptions, we note such a resemblance in general form that they might, possibly, be regarded as variants of a single melody. The singer, however, was a man of unusual ability and experience and the Steal-partner dance is a popular dance, employing many songs. Under these circumstances it is possible that close resemblances might occur in the melodies, which he recorded without hesitation. The most elaborate of these songs is No. 38, which contains three rhythmic units, numerous measures in 5-8 time and several occurences of nota legato. In Nos. 33 and 35 Gus Willis joined the singer after the first phrase, the voices continuing in unisono (cf. p. 121)."
choct40,Steal-partner Dance Song (g),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,157,2205,TRUE,FALSE,FALSE,voice,39,major,116,,116,1,2/4|3/4,,"The two parts of this song were separated by a pause In the recording. The first part is based ont he fourth 5-toned scale and if the second part were a tone higher, it would correspond to the upper portion of that series. It is transcribed as sung, and we note that the second part is on a minor third, suggesting the change from major to minor tonality that was noted in earlier songs of this dance. The rhythmic units in the two parts are the same length but differ in count divisions."
choct41,Bear Dance Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,158,2192,TRUE,TRUE,TRUE,sticks|voice,40,major,88,88,88,1,2/4|3/4,,"An interesting change of rhythm occurs in this melody. The divisions of the five counts beginning with the last count in the third measure are the same as in the two preceding measures, but a change of accent produces a different rhythm. A whole tone comprises one-half the progressions, next in frequency being a minor third. This melody contains the period formation, but the form is not so clear as in the song next following."
choct42,Bear Dance Song (b),"['Lapintabeseihoke [Kills it Himself, Sidney Wesley]', 'Atobaantci [Putting it Back, Mary Hiekman]']",Robert Henry,male,158,2264,TRUE,FALSE,FALSE,voice,41,minor,84,,84,1,2/4|3/4,,"A minor triad forms the framework of period A in this melody. Period B opens with an ascent to the seventh, the melody then descending on the tones of a minor triad and minor seventh, a sequence of tones characterizing primitive music.  Period B is in double time in its first occurence and in triple time in its second occurence. The melody tones are those of the second 5-toned scale."
choct43,Bear Dance Song (c),"['Lapintabeseihoke [Kills it Himself, Sidney Wesley]', 'Atobaantci [Putting it Back, Mary Hiekman]']",Gus Willis,male,159,2267,TRUE,TRUE,TRUE,sticks|voice,42,major,88,,88,1,2/4,,
choct44,Bear Dance Song (d),Gus Willis,Gus Willis,male,160,2268,TRUE,TRUE,TRUE,sticks|voice,43,major,88,,88,1,2/4|3/4,,"The short rhythmic unit in the first of these songs is extended in the second. A major triad forms the framework of the first song and the middle phrase of the second, followed by a distinct change of rhythm and a descent to E, introducing a minor triad and minor seventh with the tones in descending order. The ""shouts"" with the two songs were different, those which preceded and followed the first song being shown as nearly as possible in the transcription. The second song is in the same tempo as the first. The ""shouts"" were different and are not indicated. The melody tones of both songs are those of the fourth 5-toned scale and the number of progressions is the same in both songs, comprising 12 descending and 9 ascending intervals. Variety is given to the rhythm of the striking sticks by a change to 2 eighth-note beats on the last coimt of each triple measure."
choct45,Stomp Dance Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,161,2194,TRUE,FALSE,FALSE,voice,44,minor,72,,72,1,2/4|3/4,,"This melody contains only the tones B flat and D flat except the occurrence of E flat in three measures. The three rhythmic units are in triple time and change to double time, but the coimt divisions in each are different. Ascending and descending intervals are equal in number, each consisting of 12 minor thirds and 3 fourths."
choct46,Stomp Dance Song (b),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,162,2195,TRUE,FALSE,FALSE,voice,45,minor,66,,66,1,2/4|3/4,,"A period formation characterizes this song, the second period being short and higher in pitch than the remainder of the melody. The most prominent interval is the whole tone between F sharp and G sharp. Except for one ascending fourth, the intervals consist of whole tones and minor thirds"
choct47,Stomp Dance Song (c),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,163,2196,TRUE,FALSE,FALSE,voice,46,major,66,,66,1,3/4|2/4,,"In period formation this resembles the song next preceding. The highest tone occurs in the second period, as in a majority of songs with this form. In approaching this high tone, the singer overreached the interval and sang D sharp instead of D. The next note was B, after which he gradually lowered the pitch level until the final tone of the measure was A, as transcribed. This change in pitch level was clearly unintentional and is not shown in the transcription. The second period resembles the third rhythmic unit, but the change in the rhythm of the first count gives emphasis to the phrase."
choct48,Stomp Dance Song (d),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,164,2197,TRUE,FALSE,FALSE,voice,47,major,76,,76,1,3/4|5/8|2/4|3/8,"Tobacco I will smoke, bring me a fire (a light?). I am going to dance.","The keynote is the highest tone in this song and does not occur in the lower octave. This song is major in tonality, but about one-fourth of the intervals are minor thirds. The intervals of a major third and major sixth do not occur, and the fourth is a prominent interval. Ascending and descending progressions are about equal in number. The third measure is an interesting phrase and occurs at the close of each rhythmic unit."
choct49,Stomp Dance Song (e),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,165,2198,TRUE,FALSE,FALSE,voice,48,minor,72,,72,1,3/4|2/4,,An alteration of ascending and escending phrases characterizes this melody and produces a swaying effect. Attention is directed to the sixth and seventh measures which resemble the second rhythmic unit but are in double instead of triple time. The length of the periods is similar to that in the two preceding songs of this group.
choct50,Stomp Dance Song (f),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,166,2199,TRUE,FALSE,FALSE,voice,49,major,136,,136,1,3/4|2/4,,"This lively soug contains only the tones of a major triad and second. The characteristic interval is a fourth, vphich comprises almost half the progressions. This occurs generally as a descending followed by an ascending interval."
choct51,Stomp Dance Song (g),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,167,2211,TRUE,FALSE,FALSE,voice,50,minor,116,,116,1,2/4,,"Three rhythmic units occur in this song, the second measure being the same in all. There is no change of measure lengths, which is unusual in Indian songs. The tones are those of the fourth 5-toned scale and the melody is framed chiefly on the descending fourths O-G, and B flat-F, the former being a broken and the latter a direct progression. The descending intervals are more than double the ascending intervals in number."
